Key,English,Russian

// Общие
//
Subtitle,New Horizons,Новые горизонты
NewVer,The new version is now available in the Play Market[comma] you need to update to the new version.[N][N]<size=16>Your version is <color=#F00>{0}</color>[comma] new is <color=#0DF>{1}</color></size>,Доступна новая версия игры теперь доступна в Play Market[comma] необходимо обновиться до новой версии.[N][N]<size=16>Твоя версия <color=#F00>{0}</color>[comma] а новая <color=#0DF>{1}</color></size>
Loading,Loading,Загрузка
Loaded,Loaded,Загружено
Okay,Okay,Понял
Source,Source,Исходник
Search,Search,Поиск
Later,Later,Позже
Reset,Reset,Сброс
Score,Score,Очки
Back,Back,Назад
Yes,Yes,Да
No,No,Нет


// Hints
Hint_FingerPause,Finger pause,Пауза пальцем
Hint_FingerPauseText,Pause game if 3rd finger detected on screen[N](Left thumb[comma] right thumb and index finger),Ставить на паузу если на экране будет 3 пальца[N](Правый и левый большой палец и указательный)



// Main_UI -> MainScreen
//
SliceSound,Slice sound volume,Громкость разрубания
Glow,Bloom,Свечение
GlowPower,Glow power,Сила свечения
Off,Off,Выкл
On,On,Вкл
Low,Low,Низкий
Middle,Middle,Сред.
High,High,Высокий
Short,Short,Короткая
Long,Long,Длинная
Top,Top,Вверху
Bottom,Bottom,Внизу
BottomRev,Bottom Rev,Внизу реверс
TimeTextSide,Time text side,Позиция текста
Info,If you find a bug or want to suggest a change then write to me in the mail,Если вы нашли баг или хотите предложить изменение то пишите мне на почту
ContactInfo,Contact Info,Контактная инфа
PrivacyPolicy,Open Privacy Policy,Открыть Политику Конфиденциальности
WeHaveEditor,We have editor and you can download here.[N]<color=#333>(click to download)</color>,У нас есть редактор и ты можешь скачать его тут.[N]<color=#333>(нажми чтобы скачать)</color>


// Main_UI -> TracksScreen
//
SelectList,Select music list,Выберите тип музыки
OwnList,Own,Своя
AuthorList,Author's,Авторская
SortBy,Sort by,Сортировка по
popularity,Popularity,Популярности
likes,Likes,Лайкам
plays,Plays count,Количеству игр
date,Date,Дате
NewTracksPos,New tracks position,Позиция новых треков
OnTop,Top,Вверху
OnBottom,Bottom,Внизу
DontMove,Don't move,Не двигать

AllMusic,All music,Вся музыка
DownloadedMusic,Downloaded,Скачанная

NewTracks,New tracks,Новые треки
AllTracks,All tracks,Все треки
All,All,Всё
PlayersMaps,Players maps,Карты игроков
DevMaps,Developer maps,Карты разраба
Display,Display,Показать
Filters,Filters,Фильтры
MapsCount,Maps count,Количество карт
SelectLocation,Select Location,Выбрать локацию
Search..,Search..,Поиск..
MapsByPlayers,Maps by players,Карты от игроков


// Main_UI -> ConfigScreen
//
ChangeMap,Change map,Смена карты
Delete,Delete,Удалить
Download,Download,Скачать
Difficult,Difficult,Сложность
MusicSpeed,Music speed,Скорость музыки
CubesSpeed,Cubes speed,Скорость кубов
NoArrows,No arrows,Без стрелок
NoLines,No lines,Без линий
Your record is,Your record is,Ваш рекорд
Record,Record,Рекорд
NotSetYet,not set yet,ещё не установлен
Cancel,Cancel,Отменить
Play,Play,Играть
WaitingForDownload,Waiting for download..,Ожидание загрузки..
Vibration,Vibration,Вибрация
MapCreator,Map creator,Создатель карты

// SelectMap
//
Maps,Maps,Карты
UnlockFor,Unlock for,Разблокировать за
SelectMap,Select map,Выбрать карту
Coins,coins,монет
Unlocked,Unlocked,Разблокировано


// Tutorial
//
Tutorial,Tutorial,Туториал
Intro,<size=56><color=#FF5E00FF><b>Hi guy!</b></color></size>[N][N]I think it's your first time playing this game.[N]I'll tell you how to play[N][N]If you are ready click this button,<size=56><color=#FF5E00FF><b>Привет!</b></color></size>[N][N]Думаю ты впервые играешь в эту игру.[N]Я расскажу как играть[N][N]Если ты готов[comma] нажми кнопку
